code_raw;country_code;pop_tot;survey_abs;survey_perc;country_name_clean;;
"UE28
EU28";UE28;27881;18181;65%;European Union (EU-28);;
BE;BEL;1000;717;72%;Belgium;;
BG;BGR;1036;179;17%;Bulgaria;;
CZ;CZE;1007;677;67%;Czechia;;
DK;DNK;1002;694;69%;Denmark;;
D-W;DEU-W;1032;723;70%;West Germany;;
DE;DEU;1535;1070;70%;Germany;;
D-E;DEU-E;503;344;68%;East Germany;;
EE;EST;1007;516;51%;Estonia;;
IE;IRL;1002;650;65%;Ireland;;
EL;GRC;1008;577;57%;Greece;;
ES;ESP;1009;616;61%;Spain;;
FR;FRA;1016;820;81%;France;;
HR;HRV;1020;444;44%;Croatia;;
IT;ITA;1027;590;57%;Italy;;
CY;CYP;501;291;58%;Cyprus;;
LV;LVA;1002;451;45%;Latvia;;
LT;LTU;1003;674;67%;Lithuania;;
LU;LUX;504;398;79%;Luxembourg;;
HU;HUN;1050;570;54%;Hungary;;
MT;MLT;497;358;72%;Malta;;
NL;NLD;1013;826;82%;The Netherlands;;
AT;AUT;1026;503;49%;Austria;;
PL;POL;1009;552;55%;Poland;;
PT;PRT;1062;670;63%;Portugal;;
RO;ROU;1031;295;29%;Romania;;
SI;SVN;1025;834;81%;Slovenia;;
SK;SVK;1084;651;60%;Slovakia;;
FI;FIN;1010;780;77%;Finland;;
SE;SWE;1027;895;87%;Sweden;;
UK;GBR;1368;1041;76%;United Kingdom;;
